Date,Month,Day_of_Year,Soil_Type,Soil_Texture,Soil_Structure,Soil_Depth_cm,Sand_%,Clay_%,Bulk_Density_g_cm3,Soil_Compaction_kPa,pH,Organic_Matter_%,Nitrogen_%,Phosphorus_mg_kg,Potassium_mg_kg,Moisture_Content_%,Irrigation_Applied_mm,precipitation_mm,avg_temp_C,solarradiation_W/m2,cloudcover%,Heat_Stress_Days (HSD),Frost_Days (FD),Temp_Shock (TS),Tuber_Yield_Potential_kg_ha,Yield (Production-Hector M. Ton)
2015-11-22,11,326,Silt Loam,Clayey,Platy,2.621.311,5.473.622.936,2.132.327.508,149.074.033,1.759.636.511,5.594.416.577,2.841.993.583,0.272273068,1.874.615.321,2.469.838.068,1.634.992.747,1.259.820.268,0.0,25.0,195.9,0.0,1,0,1,4.930.681.795,1095760
2015-11-23,11,327,Clay Loam,Loamy,Granular,2.621.311,5.066.728.779,1.922.622.846,1.562.766.321,1.379.528.172,5.374.813.978,3.500.844.624,0.113599469,243.129.925,1.322.802.307,1.951.233.325,1.438.989.746,0.0,24.9,195.3,1.5,1,0,1,4.134.739.114,1095760
2015-11-24,11,328,Sandy Loam,Silty,Massive,2.621.311,6.242.479.301,1.585.993.678,1.353.240.681,1.364.030.983,7.052.342.851,3.788.541.562,0.331667915,4.490.188.586,1.539.504.949,1.546.298.624,4.549.349.272,0.0,24.2,191.2,3.2,1,0,1,2.020.542.654,1095760
2015-11-25,11,329,Clay Loam,Silty,Platy,2.621.311,5.164.155.287,2.417.030.694,1.288.653.707,1.000.558.253,6.260.603.522,1.523.696.993,0.258202187,1.843.120.208,1.516.304.243,1.836.961.125,8.195.940.426,0.0,24.1,188.6,26.5,0,0,0,2.940.853.827,1095760
2015-11-26,11,330,Clay Loam,Clayey,Massive,2.621.311,5.006.381.213,1.743.444.259,1.218.445.883,2.677.316.022,6.119.824.391,5.447.806.596,0.194018651,4.125.323.038,2.242.804.002,1.498.855.357,1.462.450.702,0.0,23.8,186.8,25.8,0,0,0,4.722.409.926,1095760
2015-11-27,11,331,Sandy Loam,Sandy,Granular,2.621.311,6.358.936.545,152.012.951,123.500.319,1.507.013.024,6.887.105.594,3.740.827.852,0.156307662,1.505.146.284,1.408.605.285,2.810.531.475,9.162.343.748,0.0,23.5,169.2,20.5,0,0,0,3.761.286.949,1095760
2015-11-28,11,332,Silt Loam,Loamy,Granular,2.621.311,5.153.468.648,2.416.322.219,1.466.782.241,1.457.777.012,6.176.723.026,4.106.036.482,0.358559508,3.696.520.132,15.018.296,1.007.973.183,1.406.907.491,0.0,23.6,175.7,31.5,0,0,0,3.173.011.786,1095760
2015-11-29,11,333,Loamy,Loamy,Massive,2.621.311,6.286.192.131,1.689.121.781,1.281.425.825,1.671.710.378,6.529.599.625,2.543.426.162,0.335383123,2.772.351.312,2.078.580.558,1.973.109.927,116.111.839,0.0,23.8,182.1,25.3,1,0,1,3.439.596.463,1095760
2015-11-30,11,334,Sandy Loam,Silty,Platy,2.621.311,6.392.160.766,1.613.717.222,1.421.661.574,2.975.466.232,601.560.148,4.992.176.414,0.257700189,2.068.321.758,1.282.025.623,2.123.945.078,1.486.168.377,0.0,24.1,178.0,38.5,1,0,1,4.123.942.669,1095760
2015-12-01,12,335,Clay Loam,Sandy,Granular,2.621.311,5.946.756.738,2.007.597.558,1.489.149.294,1.690.175.151,7.218.805.688,3.126.345.785,0.191172293,212.488.912,1.581.155.146,207.979.549,1.406.383.662,0.0,25.1,131.9,64.5,1,0,1,2.517.604.789,1095760
2015-12-02,12,336,Silt Loam,Sandy,Blocky,2.621.311,59.544.293,1.511.406.207,1.365.434.642,2.756.813.161,6.413.914.098,4.579.493.497,0.145869529,3.801.825.106,2.299.248.132,1.060.938.221,156.968.985,0.0,24.3,115.6,78.7,0,0,0,3.343.499.371,1095760
2015-12-03,12,337,Loamy,Sandy,Massive,2.621.311,5.928.853.376,2.366.685.989,1.222.048.234,1.098.532.838,7.256.277.631,3.821.158.191,0.124281886,2.356.910.739,1.878.166.545,2.206.947.135,1.920.740.991,4.6,24.4,137.8,68.5,0,0,0,3.984.322.434,1095760
2015-12-04,12,338,Clay Loam,Loamy,Blocky,2.621.311,5.070.337.459,210.032.185,14.575.769,2.172.731.298,7.247.073.924,5.299.297.713,0.321954189,3.748.668.533,1.973.725.883,1.690.372.856,1.827.328.192,0.5,23.4,153.9,57.6,0,0,0,3.773.842.699,1095760
2015-12-05,12,339,Sandy Loam,Loamy,Blocky,2.621.311,6.341.582.629,2.370.944.847,1.405.080.278,1.765.092.071,6.896.426.828,3.892.551.916,0.172548682,3.906.275.696,1.354.090.178,2.106.202.704,138.916.849,0.0,23.8,174.2,18.8,0,0,0,3.318.552.815,1095760
2015-12-06,12,340,Loamy,Clayey,Massive,2.621.311,5.122.738.094,2.211.364.941,1.502.093.783,2.501.623.579,637.012.822,5.296.269.687,0.213543442,2.034.404.551,1.008.621.091,1.369.023.511,1.250.697.283,0.0,23.2,171.2,32.9,0,0,0,4.325.205.791,1095760
2015-12-07,12,341,Clay Loam,Loamy,Massive,2.621.311,6.017.519.776,1.922.412.739,1.508.871.538,2.683.021.788,6.635.548.987,2.984.003.681,0.130287269,3.436.217.725,1.033.330.098,1.569.043.364,1.358.089.025,1.3,23.6,113.4,70.1,0,0,0,4.771.044.077,1095760
2015-12-08,12,342,Sandy Loam,Sandy,Granular,2.621.311,5.867.797.454,2.048.340.771,1.552.466.231,1.356.823.352,5.555.212.141,3.075.388.237,0.378600752,4.467.176.078,140.255.904,1.481.058.034,4.743.444.877,0.8,22.8,132.8,59.8,0,0,0,2.082.229.784,1095760
2015-12-09,12,343,Clay Loam,Silty,Platy,2.621.311,5.441.376.747,208.640.192,1.361.698.316,199.386.745,7.297.818.394,468.814.744,0.318872635,1.680.029.036,2.436.380.397,2.711.342.225,1.194.564.274,0.0,22.9,161.7,28.1,0,0,0,3.697.093.297,1095760
2015-12-10,12,344,Clay Loam,Loamy,Massive,2.621.311,6.427.059.422,1.822.826.442,1.534.305.502,192.072.965,7.149.339.803,4.612.003.541,0.364581009,3.030.238.278,16.417.962,1.735.271.791,1.689.211.395,0.0,22.2,149.6,10.8,0,0,0,2.463.953.312,1095760
2015-12-11,12,345,Sandy Loam,Clayey,Platy,2.621.311,6.187.157.619,1.844.856.051,1.495.012.506,133.996.092,6.967.858.218,2.000.371.184,0.112497356,4.164.403.813,1.456.329.487,1.312.083.871,6.963.144.981,0.1,23.0,143.9,58.0,0,0,0,2.015.166.016,1095760
2015-12-12,12,346,Loamy,Loamy,Platy,2.621.311,5.255.330.371,2.264.090.782,1.516.820.188,165.289.084,5.063.702.557,2.890.408.128,0.123737876,3.425.982.452,1.365.154.742,1.630.740.887,1.377.075.602,0.2,23.1,145.4,70.3,0,0,0,2.906.567.152,1095760
2015-12-13,12,347,Loamy,Silty,Platy,2.621.311,5.211.187.899,2.026.058.892,1.220.190.522,1.118.837.262,5.486.317.879,2.079.146.775,0.180998553,2.330.621.658,2.488.857.966,2.283.050.348,8.980.604.296,0.6,23.9,108.4,47.4,0,0,0,207.715.627,1095760
2015-12-14,12,348,Silt Loam,Clayey,Blocky,2.621.311,671.296.839,2.024.337.124,1.424.964.754,2.563.647.205,7.291.743.537,2.549.691.699,0.102455761,2.250.567.273,1.333.967.131,2.134.185.449,7.330.167.312,1.2,22.1,115.9,73.2,0,0,0,3.105.456.922,1095760
2015-12-15,12,349,Loamy,Silty,Massive,2.621.311,6.884.950.822,186.620.805,1.524.603.545,2.084.809.904,7.022.634.821,3.174.317.381,0.153289688,2.372.467.121,1.208.495.795,1.025.309.288,0.154648097,0.0,21.3,148.4,25.8,0,0,0,4.617.485.118,1095760
2015-12-16,12,350,Sandy Loam,Silty,Platy,2.621.311,6.328.576.618,1.964.893.198,1.470.376.174,1.404.418.386,7.115.399.056,5.911.260.081,0.190200875,162.666.889,1.783.864.506,2.412.497.372,1.149.090.651,0.0,19.8,181.5,2.1,0,0,0,4.310.712.981,1095760
2015-12-17,12,351,Sandy Loam,Clayey,Platy,2.621.311,5.430.726.182,2.052.678.579,1.488.361.767,1.169.670.133,6.011.423.751,3.170.484.354,0.159539993,1.764.641.549,1.482.006.609,1.902.301.281,1.806.217.355,0.0,19.1,183.0,8.3,0,0,0,4.882.412.644,1095760
2015-12-18,12,352,Sandy Loam,Clayey,Platy,2.621.311,5.715.636.575,2.403.664.193,1.433.720.258,1.745.150.123,5.640.936.826,3.512.039.867,0.288452323,4.354.821.295,1.972.154.041,2.908.219.454,5.112.561.493,0.0,18.8,89.7,66.7,0,0,0,3.151.880.783,1095760
2015-12-19,12,353,Silt Loam,Silty,Massive,2.621.311,6.555.304.913,1.842.065.727,156.874.701,1.748.287.925,7.226.744.541,1.843.796.791,0.215574818,3.072.821.575,1.407.906.386,2.856.885.579,1.531.516.086,0.2,18.5,133.3,44.6,0,0,0,3.986.834.351,1095760
2015-12-20,12,354,Clay Loam,Clayey,Blocky,2.621.311,6.089.981.132,2.361.502.021,1.370.455.358,1.681.968.992,5.932.388.309,3.170.609.454,0.16903116,1.740.709.958,2.114.693.978,2.014.317.211,1.294.796.885,0.0,18.9,181.9,28.8,0,0,0,4.878.942.176,1095760
2015-12-21,12,355,Silt Loam,Sandy,Massive,2.621.311,5.676.028.058,1.574.909.717,1.295.301.163,2.890.604.144,5.747.176.445,2.861.923.948,0.255042806,3.095.095.655,1.881.575.536,1.536.145.831,7.693.423.294,0.0,18.6,182.8,17.1,0,0,0,4.101.604.264,1095760
2015-12-22,12,356,Sandy Loam,Silty,Massive,2.621.311,5.359.284.496,2.049.524.326,1.372.390.814,2.315.917.111,5.752.155.783,3.146.884.586,0.181674494,2.418.626.085,2.058.902.663,2.139.454.328,1.877.353.407,0.0,18.7,180.7,0.6,0,0,0,3.609.537.537,1095760
2015-12-23,12,357,Loamy,Clayey,Platy,2.621.311,6.504.561.434,1.930.982.877,1.517.712.221,2.295.348.391,7.206.080.971,2.033.382.461,0.276774618,3.883.953.616,2.144.884.236,2.089.815.287,2.916.386.701,0.0,19.1,167.5,4.9,0,0,0,3.957.049.765,1095760
2015-12-24,12,358,Clay Loam,Clayey,Blocky,2.621.311,5.950.135.127,2.284.498.896,1.333.601.735,2.203.511.862,5.442.325.134,4.456.047.883,0.2447226,154.379.601,1.266.681.235,1.609.849.777,1.357.486.688,0.0,19.1,152.9,26.1,0,0,0,2.007.680.588,1095760
2015-12-25,12,359,Clay Loam,Loamy,Blocky,2.621.311,678.843.948,2.492.597.966,125.955.181,2.659.220.349,7.082.393.349,1.849.537.472,0.127152193,2.644.525.609,1.551.671.128,2.750.888.794,5.415.648.308,0.0,19.4,62.7,51.8,0,0,0,2.478.676.242,1095760
2015-12-26,12,360,Silt Loam,Clayey,Massive,2.621.311,5.710.427.746,1.570.702.237,1.449.200.288,1.492.277.828,6.193.919.332,4.633.155.502,0.220823734,3.465.639.137,1.298.892.407,257.685.021,1.453.545.187,0.0,18.5,183.2,8.0,0,0,0,2.722.221.959,1095760
2015-12-27,12,361,Silt Loam,Silty,Blocky,2.621.311,584.008.412,1.630.936.123,1.328.637.083,2.575.776.151,5.652.859.359,2.561.726.017,0.139852697,2.735.691.061,1.958.489.346,1.269.960.437,9.243.794.609,0.0,18.8,182.9,0.0,0,0,0,2.708.353.886,1095760
2015-12-28,12,362,Loamy,Sandy,Blocky,2.621.311,6.263.194.413,1.549.706.094,1.364.580.905,2.664.203.372,6.460.578.093,4.635.726.543,0.191791987,3.572.916.626,2.408.120.428,293.575.203,8.596.265.446,0.0,19.3,181.7,8.0,0,0,0,438.445.388,1095760
2015-12-29,12,363,Silt Loam,Loamy,Massive,2.621.311,629.680.594,203.039.423,1.556.303.739,1.651.955.595,5.697.478.715,3.518.274.638,0.264906438,3.210.160.486,1.242.693.525,149.149.891,1.368.291.973,0.0,19.8,175.0,10.4,0,0,0,3.397.482.608,1095760
2015-12-30,12,364,Loamy,Loamy,Platy,2.621.311,6.634.356.549,2.446.248.715,1.277.467.144,2.827.063.805,6.287.221.696,5.821.946.793,0.280159389,3.164.685.589,157.692.043,2.729.619.426,7.068.143.147,0.0,19.8,178.1,25.8,0,0,0,3.486.454.269,1095760
2015-12-31,12,365,Loamy,Loamy,Massive,2.621.311,6.886.519.566,2.155.583.438,1.441.841.541,1.024.172.827,6.534.189.555,3.254.139.549,0.317931349,1.986.206.274,1.772.878.489,108.456.201,1.557.095.143,0.0,20.6,161.5,31.6,0,0,0,4.967.419.485,1095760
2016-01-01,1,1,Clay Loam,Silty,Granular,2.621.311,5.534.518.023,1.995.589.206,122.886.819,2.116.703.179,6.457.559.564,5.180.609.921,0.296799175,2.551.092.686,198.160.993,2.603.756.753,901.375.597,0.0,20.5,180.6,21.6,0,0,0,3.570.052.244,1095760
2016-01-02,1,2,Loamy,Loamy,Platy,2.621.311,5.214.020.905,193.979.368,1.300.922.501,2.466.143.905,7.040.593.173,5.726.275.795,0.234791195,3.797.811.777,1.248.658.174,1.003.699.435,0.697091363,0.0,20.9,175.1,14.0,0,0,0,4.971.526.762,1095760
2016-01-03,1,3,Loamy,Loamy,Platy,2.621.311,6.673.502.643,2.161.175.119,1.531.449.735,1.406.464.482,6.546.917.005,1.668.036.999,0.327678931,1.724.588.998,1.823.883.259,1.664.930.752,1.550.964.225,0.0,20.3,137.0,20.6,0,0,0,2.539.279.359,1095760
2016-01-04,1,4,Sandy Loam,Loamy,Granular,2.621.311,5.179.994.453,2.210.752.663,1.423.577.676,2.895.018.621,5.551.598.757,4.198.411.022,0.108461384,3.925.887.713,1.240.986.403,2.883.723.371,1.525.655.862,0.0,20.5,173.1,23.7,0,0,0,2.016.963.233,1095760
2016-01-05,1,5,Clay Loam,Clayey,Granular,2.621.311,5.188.789.493,2.415.459.478,128.069.854,2.648.850.866,5.737.232.829,2.669.378.746,0.384226982,222.402.439,1.393.981.342,261.938.718,1.868.047.111,0.0,20.5,176.4,20.0,0,0,0,4.741.326.679,1095760
2016-01-06,1,6,Clay Loam,Silty,Granular,2.621.311,5.904.222.412,2.322.561.405,1.256.897.309,1.844.035.566,600.544.433,2.554.059.315,0.171927139,2.680.269.943,1.521.604.874,1.448.841.148,8.908.421.658,0.0,20.7,174.5,16.8,0,0,0,4.148.932.049,1095760
2016-01-07,1,7,Loamy,Sandy,Granular,2.621.311,5.809.196.377,2.138.823.316,1.404.188.102,1.716.814.068,6.923.718.341,3.801.699.755,0.308339531,2.901.469.512,1.960.018.974,2.545.857.534,1.028.190.764,0.0,21.1,172.3,40.4,0,0,0,3.761.987.661,1095760
2016-01-08,1,8,Loamy,Silty,Platy,2.621.311,6.308.333.398,1.512.722.402,1.234.857.748,1.835.346.821,7.260.456.111,5.733.594.269,0.189238717,2.121.527.853,1.418.857.285,2.262.101.905,1.105.217.788,0.2,20.2,165.7,39.3,0,0,0,3.898.638.628,1095760
2016-01-09,1,9,Sandy Loam,Sandy,Granular,2.621.311,6.114.718.934,1.556.706.488,1.474.807.163,1.704.920.989,5.061.330.889,1.778.661.023,0.307089777,4.241.520.432,2.113.021.087,1.469.900.584,1.467.483.046,0.6,20.9,176.0,46.9,0,0,0,3.697.995.959,1095760
2016-01-10,1,10,Silt Loam,Loamy,Blocky,2.621.311,5.909.253.087,2.087.807.131,1.401.173.724,1.925.633.196,748.354.537,5.816.114.823,0.240406171,3.565.305.826,2.482.858.093,1.204.380.835,8.952.846.293,0.0,20.4,169.5,44.9,0,0,0,3.422.196.945,1095760
2016-01-11,1,11,Clay Loam,Silty,Massive,2.621.311,5.372.273.438,1.571.845.029,1.543.411.155,2.517.188.913,622.865.506,5.129.668.211,0.175636894,1.503.936.401,1.440.335.558,2.205.095.465,6.520.556.155,0.0,20.2,191.0,11.1,0,0,0,339.317.713,1095760
2016-01-12,1,12,Clay Loam,Clayey,Blocky,2.621.311,6.351.732.681,1.708.782.498,1.503.759.094,1.313.126.133,5.329.360.045,5.550.935.573,0.373991448,3.908.664.396,1.506.751.532,1.375.152.654,7.332.654.822,0.0,19.5,182.8,19.7,0,0,0,428.666.555,1095760
2016-01-13,1,13,Sandy Loam,Loamy,Massive,2.621.311,5.955.118.138,1.667.255.354,1.320.898.112,1.588.190.975,6.413.604.222,1.726.606.201,0.170095173,2.077.104.182,162.662.158,1.711.323.157,1.619.101.614,0.0,19.1,158.3,27.8,0,0,0,2.869.477.726,1095760
2016-01-14,1,14,Loamy,Silty,Granular,2.621.311,5.490.478.877,2.047.506.149,1.371.857.679,2.147.839.576,6.146.333.368,2.853.303.998,0.124645431,2.732.551.337,2.317.777.931,1.612.708.228,1.337.619.068,0.0,20.0,179.2,28.9,0,0,0,4.562.456.726,1095760
2016-01-15,1,15,Clay Loam,Silty,Blocky,2.621.311,5.610.531.647,2.015.971.209,1.573.874.891,1.196.359.886,5.123.303.859,2.050.025.228,0.115666045,398.414.377,1.408.706.819,2.260.148.155,1.137.819.864,0.0,19.7,192.5,16.3,0,0,0,4.373.928.598,1095760
2016-01-16,1,16,Sandy Loam,Silty,Platy,2.621.311,646.936.435,1.588.183.689,1.562.398.693,2.346.549.399,644.406.073,3.306.962.496,0.194900138,4.249.884.398,164.459.997,1.385.521.971,1.430.041.903,0.0,20.0,185.3,18.9,0,0,0,2.576.775.881,1095760
2016-01-17,1,17,Loamy,Sandy,Blocky,2.621.311,6.342.916.781,2.133.547.435,1.594.636.342,2.514.259.994,7.328.927.908,2.280.983.131,0.142080352,4.274.279.824,1.216.146.647,2.916.774.011,4.247.269.791,0.0,20.3,196.2,4.9,0,0,0,3.862.131.463,1095760
2016-01-18,1,18,Clay Loam,Sandy,Blocky,2.621.311,5.505.022.913,2.360.721.243,1.489.398.188,2.764.281.757,6.181.576.545,1.811.116.081,0.177482591,3.282.223.133,1.547.653.155,285.229.344,1.896.407.063,0.0,19.7,192.2,4.3,0,0,0,2.692.841.667,1095760
2016-01-19,1,19,Sandy Loam,Silty,Granular,2.621.311,6.711.960.695,2.004.933.711,1.533.574.388,2.372.964.185,5.573.006.684,4.411.351.665,0.397587752,2.464.743.074,2.212.323.738,2.369.141.932,1.904.410.692,0.0,20.2,164.9,31.8,0,0,0,4.585.745.304,1095760
2016-01-20,1,20,Silt Loam,Silty,Massive,2.621.311,6.918.957.399,1.955.819.721,139.422.236,273.517.135,6.677.351.175,3.902.980.152,0.244776883,4.027.184.025,185.129.934,2.772.276.913,1.031.331.097,4.0,19.1,115.2,77.5,0,0,0,402.607.004,1095760
2016-01-21,1,21,Silt Loam,Sandy,Granular,2.621.311,6.243.411.169,2.046.152.716,1.352.283.665,2.247.872.175,5.669.063.721,5.468.793.121,0.291814514,3.081.749.423,1.802.301.975,252.751.241,1.880.345.149,0.0,18.6,90.9,68.4,0,0,0,4.513.572.644,1095760
2016-01-22,1,22,Sandy Loam,Clayey,Massive,2.621.311,6.457.235.887,1.936.395.002,1.308.874.788,1.372.104.356,7.287.977.614,2.202.182.684,0.377965702,4.298.821.613,2.265.505.043,1.785.820.403,1.446.794.925,0.0,17.4,162.6,65.3,0,0,0,2.731.533.869,1095760
2016-01-23,1,23,Loamy,Sandy,Platy,2.621.311,6.813.718.215,1.659.282.323,1.324.120.802,22.418.955,6.192.614.021,3.065.445.322,0.107903055,3.167.330.267,1.139.475.326,1.223.535.884,9.261.180.728,0.0,16.0,173.4,54.5,0,0,0,2.088.171.782,1095760
2016-01-24,1,24,Silt Loam,Loamy,Massive,2.621.311,6.742.211.803,2.016.190.614,1.424.255.858,2.105.799.352,696.138.622,4.122.261.178,0.234281625,2.151.843.967,2.088.717.753,2.252.541.267,1.408.391.294,0.0,16.6,200.9,14.6,0,0,0,2.907.892.415,1095760
2016-01-25,1,25,Clay Loam,Silty,Blocky,2.621.311,5.158.239.398,2.419.491.301,1.253.627.069,1.356.122.123,5.122.843.887,1.864.363.294,0.342867494,3.348.525.061,1.053.671.902,1.011.271.703,4.632.792.385,0.0,16.0,197.9,21.2,0,0,0,4.701.469.941,1095760
2016-01-26,1,26,Sandy Loam,Silty,Platy,2.621.311,5.813.546.073,2.336.755.972,1.419.523.384,1.148.108.155,6.831.222.151,5.515.139.001,0.36498022,3.092.163.033,2.341.316.649,2.722.431.883,6.181.093.858,0.0,16.6,202.8,33.2,0,0,0,2.002.590.349,1095760
2016-01-27,1,27,Loamy,Sandy,Blocky,2.621.311,6.645.910.694,1.594.450.827,1.482.656.724,2.884.236.967,5.369.940.298,5.846.659.956,0.354130885,3.734.830.614,1.307.873.389,2.664.341.106,8.223.912.064,0.0,17.9,201.8,44.7,0,0,0,4.140.528.983,1095760
2016-01-28,1,28,Sandy Loam,Clayey,Blocky,2.621.311,5.054.964.306,2.448.259.938,1.203.322.177,2.108.194.388,5.544.294.683,3.921.825.904,0.210559114,2.797.148.824,1.893.650.121,2.194.292.116,1.299.493.569,0.2,19.3,172.2,56.6,0,0,0,3.748.804.608,1095760
